location_type,year,month,Weekday_Store_Sales,Weekend_Store_Sales,Weekday_Delivery_Sales,Weekend_Delivery_Sales
Airport,2016,1,0.0022853084711194505,0.002285308471119418,0.26891021572600365,0.18817095374902337
Airport,2016,2,0.002107500704014255,0.0021075007040144695,0.04102149828213794,0.1683141159946385
Airport,2016,3,0.09250781851969364,0.09250781851969335,0.8481285059053898,0.7242071091778494
Airport,2016,4,0.00137736475273814,0.0013773647527382444,-0.17609577685668543,-0.20419878999994542
Airport,2016,5,0.08382911025305344,0.08382911025305348,-0.5174049929611438,-0.49828901228900246
Airport,2016,6,0.0004434149063858835,0.00044341490638576564,0.28344257018952007,0.30460709183832657
Airport,2016,7,-9.170035381044838e-05,-9.170035381048372e-05,0.14205158095521592,0.13815227620985837
Airport,2016,8,-0.0007260277113314746,-0.0007260277113313844,-0.22412013143982845,-0.19293649589712558
Airport,2016,9,-0.0014607583706808252,-0.0014607583706807918,0.5631676536482031,0.5164565819165382
Airport,2016,10,-0.005764267058814396,0.11517221960643192,0.6482335373482665,0.6582318546883347
Airport,2016,11,-0.035463003477892954,-0.021171413679080604,-0.1368948863590839,-0.15723571840598538
Airport,2016,12,-0.11407225348306357,-0.2238915404780632,-0.2627559633648913,-0.26218517782788386
Airport,2017,1,-0.01983601762429903,-0.01704350235201532,0.12164517458105009,0.11538819060897233
Airport,2017,2,-0.004026505442936001,-0.004026505442935803,-0.009546960555851167,0.07431931449054881
Airport,2017,3,0.0017990729643797203,-0.0020733918812917613,0.34448828319611446,0.2876266519443051
Airport,2017,4,-0.008247217127553998,0.036056194720586285,-0.17216451938193658,-0.17981568632525682
Airport,2017,5,0.012094331100731508,-0.02742493418301092,-0.26239137771998544,-0.2850690983052816
Airport,2017,6,0.04793528084017353,0.04793528084017363,0.23498854931930027,0.26937872945533403
Airport,2017,7,-0.019272340607849943,-0.019272340607849884,0.3182669088962405,0.25300437194594133
Airport,2017,8,0.014125889123208344,0.00782531413515808,-0.2947730034762934,-0.24797024986781077
Airport,2017,9,0.03373020068940728,0.032017484433081556,0.37821584379700374,0.360960416487566
Airport,2017,10,-0.018511320534560238,-0.05057091506473466,0.11997045070307662,0.12234932559109168
Airport,2017,11,0.18387515181512334,0.23192595457498283,-0.5697677721875645,-0.5493709845207606
Airport,2017,12,0.037407032604892775,0.06003492305072656,0.39054766521918605,0.30695618069527264
Airport,2018,1,-0.5115992928697702,-0.5213962269690964,0.5495461945461547,0.5413818332284377
Airport,2018,2,0.04320379915445647,0.04320379915445632,-0.20293440066455726,-0.1702487481091188
Airport,2018,3,-0.06339865652584244,-0.06339865652584234,-0.10151324589001655,-0.050027174659034106
Airport,2018,4,-0.1306581313101377,-0.412290069510513,0.6946133547638349,0.6590963915543896
Airport,2018,5,-0.7613636363636364,-0.8717948717948718,-0.21976210047171335,-0.22808801969277498
Airport,2018,6,-0.7142857142857143,-0.1,0.5654805555955558,0.5644568566329031
Airport,2018,7,0.6666666666666666,0.5555555555555556,0.03057198613356604,0.019024915441192742
Airport,2018,8,-0.09263071215808298,-0.0877317510033125,0.4444961659286179,0.3954815289964498
Airport,2018,9,-0.2914438502673797,-0.3487544483985765,0.05239753162076702,0.04856421025756203
Airport,2018,10,0.22264150943396227,-0.07650273224043716,-0.10080866908202109,-0.11363422120381174
Airport,2018,11,-0.3148148148148148,-0.21301775147928995,-0.5390466889549874,-0.5564045198038793
Airport,2018,12,0.04504504504504504,0.03759398496240601,-0.08583827284452715,-0.09534896901830715
Airport,2019,1,0.6814872080088987,0.9221418887330529,-0.3999661549347499,-0.33943590397758266
Airport,2019,2,0.18010910378478717,0.1438642469350619,-0.38614517863310843,-0.41511140558811027
Airport,2019,3,-0.562628041246567,-0.7048330215412537,2.4865469906041295,3.0705689543199277
Airport,2019,4,1.0154723838648803,0.7180239240309312,-0.2215165848653447,-0.2253016732342048
Airport,2019,5,-0.5126394269679909,-0.4757226253614875,-0.26116929579319653,-0.24761252706519962
Airport,2019,6,1.0888015973556937,1.2614986207048053,0.46078006913637426,0.3349708980472872
Airport,2019,7,0.18159905331158968,0.6407087310139661,0.4458846715350781,0.40000818745617533
Airport,2019,8,-0.6601901019976331,-0.619729899342461,0.25937744166792726,0.27379617576480275
Airport,2019,9,0.7380058386004505,0.6196775051713597,-0.054295298121431176,-0.07976081759711874
Airport,2019,10,0.014376434203589625,-0.008887040978359724,-0.018201069554278543,-0.03457669244968683
Airport,2019,11,-0.456985750701699,-0.436651188268746,-0.503286859188805,-0.5118732876471768
Airport,2019,12,-0.1719737632205683,-0.20503065891410927,-0.14826162617686744,-0.15785229069157786
Airport,2020,1,-0.15530608196906653,-0.16242607966250971,-0.38951374432214564,-0.38383575207221104
Airport,2020,2,0.27198705992224376,0.29547298216942885,1.5809430904509647,1.539035639099436
Airport,2020,3,-0.5837429380935264,-0.5439359052135397,0.490029570606391,0.4736275559545915
Airport,2020,4,-0.27689836643664145,-0.25365186746196516,0.09923699878143818,0.07499307038817433
Airport,2020,5,-0.46593126857302164,-0.5277295461800793,-0.9013565642777353,-0.9339848345323959
Airport,2020,6,1.2273164411889277,1.2273164411889277,11.929234618233833,17.629124971723503
Airport,2020,7,-0.3770316495484229,-0.37703164954842283,-0.44447732495042375,-0.40238674700294735
Airport,2020,8,0.47338935574229696,0.47338935574229696,0.22293882404819995,0.24590437629769898
Airport,2020,9,-0.31007848298722823,-0.3100784829872283,0.3874987499524002,0.3815848363618156
Airport,2020,10,-0.12043693762121944,-0.12043693762121949,0.06855124542437507,0.048746934236651045
